klasse,areal
100,333044.0478498223
110,138209.61769998708
120,4700334.0740001155
200,1839231.4698499984
300,902842.1373500719
400,1024442.8381500745
500,36510.46749999264
600,37855115.468400605
700,8280398.31894922
800,48545289.71099951
900,109462.66684999532
